Cd_Mun;Município;area_plantada_ha
2105104;Icatu (MA);923
2105153;Igarapé do Meio (MA);358
2105203;Igarapé Grande (MA);734
2105302;Imperatriz (MA);292
2105351;Itaipava do Grajaú (MA);907
2105401;Itapecuru Mirim (MA);2619
2105427;Itinga do Maranhão (MA);22519
2105450;Jatobá (MA);3782
2105476;Jenipapo dos Vieiras (MA);1518
2105500;João Lisboa (MA);345
2105609;Joselândia (MA);759
2105658;Junco do Maranhão (MA);470
2105708;Lago da Pedra (MA);5394
2105807;Lago do Junco (MA);916
2105906;Lago Verde (MA);569
2105922;Lagoa do Mato (MA);2725
2105948;Lago dos Rodrigues (MA);1024
2105963;Lagoa Grande do Maranhão (MA);1257
2105989;Lajeado Novo (MA);1053
2106003;Lima Campos (MA);1082
2106102;Loreto (MA);52793
2106201;Luís Domingues (MA);264
2106300;Magalhães de Almeida (MA);6696
2106326;Maracaçumé (MA);805
2106359;Marajá do Sena (MA);2147
2106375;Maranhãozinho (MA);1085
2106409;Mata Roma (MA);10273
2106508;Matinha (MA);1007
2106607;Matões (MA);5506
2106631;Matões do Norte (MA);1531
2106672;Milagres do Maranhão (MA);5150
2106706;Mirador (MA);17426
2106755;Miranda do Norte (MA);676
2106805;Mirinzal (MA);1040
2106904;Monção (MA);1293
2107001;Montes Altos (MA);567
2107100;Morros (MA);937
2107209;Nina Rodrigues (MA);484
2107258;Nova Colinas (MA);4535
2107308;Nova Iorque (MA);2001
2107357;Nova Olinda do Maranhão (MA);1131
2107407;Olho d'Água das Cunhãs (MA);639
2107456;Olinda Nova do Maranhão (MA);721
2107506;Paço do Lumiar (MA);146
2107605;Palmeirândia (MA);2318
2107704;Paraibano (MA);2139
2107803;Parnarama (MA);14284
2107902;Passagem Franca (MA);3750
2108009;Pastos Bons (MA);11067
2108058;Paulino Neves (MA);1116
2108108;Paulo Ramos (MA);1501
2108207;Pedreiras (MA);852
2108256;Pedro do Rosário (MA);1973
2108306;Penalva (MA);1658
2108405;Peri Mirim (MA);1028
2108454;Peritoró (MA);1262
2108504;Pindaré-Mirim (MA);356
2108603;Pinheiro (MA);2305
2108702;Pio XII (MA);991
2108801;Pirapemas (MA);1204
2108900;Poção de Pedras (MA);1424
2109007;Porto Franco (MA);923
2109056;Porto Rico do Maranhão (MA);735
2109106;Presidente Dutra (MA);1966
2109205;Presidente Juscelino (MA);681
2109239;Presidente Médici (MA);634
2109270;Presidente Sarney (MA);1970
2109304;Presidente Vargas (MA);895
2109403;Primeira Cruz (MA);423
2109452;Raposa (MA);29
2109502;Riachão (MA);77175
2109551;Ribamar Fiquene (MA);1949
2109601;Rosário (MA);222
2109700;Sambaíba (MA);68163
2109759;Santa Filomena do Maranhão (MA);1006
2109809;Santa Helena (MA);920
2109908;Santa Inês (MA);543
2110005;Santa Luzia (MA);20058
2110039;Santa Luzia do Paruá (MA);1230
2110104;Santa Quitéria do Maranhão (MA);5995
2110203;Santa Rita (MA);704
2110237;Santana do Maranhão (MA);1522
2110278;Santo Amaro do Maranhão (MA);3021
2110302;Santo Antônio dos Lopes (MA);1675
2110401;São Benedito do Rio Preto (MA);2987
2110500;São Bento (MA);1259
2110609;São Bernardo (MA);4037
2110658;São Domingos do Azeitão (MA);39807
2110708;São Domingos do Maranhão (MA);6824
2110807;São Félix de Balsas (MA);4362
2110856;São Francisco do Brejão (MA);625
2110906;São Francisco do Maranhão (MA);1939
2111003;São João Batista (MA);499
2111029;São João do Carú (MA);792
2111052;São João do Paraíso (MA);820
2111078;São João do Soter (MA);4120
2111102;São João dos Patos (MA);4461
2111201;São José de Ribamar (MA);52
2111250;São José dos Basílios (MA);1939
2111300;São Luís (MA);61
2111409;São Luís Gonzaga do Maranhão (MA);1984
2111508;São Mateus do Maranhão (MA);5288
2111532;São Pedro da Água Branca (MA);614
2111573;São Pedro dos Crentes (MA);1006
2111607;São Raimundo das Mangabeiras (MA);63285
2111631;São Raimundo do Doca Bezerra (MA);946
2111672;São Roberto (MA);460
2111706;São Vicente Ferrer (MA);1363
2111722;Satubinha (MA);551
2111748;Senador Alexandre Costa (MA);5169
2111763;Senador La Rocque (MA);286
2111789;Serrano do Maranhão (MA);1103
2111805;Sítio Novo (MA);3077
2111904;Sucupira do Norte (MA);5903
2111953;Sucupira do Riachão (MA);857
2112001;Tasso Fragoso (MA);264267
2112100;Timbiras (MA);2599
2112209;Timon (MA);4114
2112233;Trizidela do Vale (MA);899
2112274;Tufilândia (MA);216
2112308;Tuntum (MA);10002
2112407;Turiaçu (MA);3347
2112456;Turilândia (MA);1490
2112506;Tutóia (MA);3363
2112605;Urbano Santos (MA);2968
2112704;Vargem Grande (MA);2272
2112803;Viana (MA);2059
2112852;Vila Nova dos Martírios (MA);4135
2112902;Vitória do Mearim (MA);2093
2113009;Vitorino Freire (MA);2205
2114007;Zé Doca (MA);1634
2200053;Acauã (PI);5409
2200103;Agricolândia (PI);1705
2200202;Água Branca (PI);638
2200251;Alagoinha do Piauí (PI);7022
2200277;Alegrete do Piauí (PI);5522
2200301;Alto Longá (PI);3065
2200400;Altos (PI);1663
2200459;Alvorada do Gurguéia (PI);2943
2200509;Amarante (PI);4029
2200608;Angical do Piauí (PI);997
2200707;Anísio de Abreu (PI);3200
2200806;Antônio Almeida (PI);6989
2200905;Aroazes (PI);940
2200954;Aroeiras do Itaim (PI);3534
2201002;Arraial (PI);1251
2201051;Assunção do Piauí (PI);2041
2201101;Avelino Lopes (PI);1940
2201150;Baixa Grande do Ribeiro (PI);274417
2201176;Barra D'Alcântara (PI);710
2201200;Barras (PI);5549
2201309;Barreiras do Piauí (PI);505
2201408;Barro Duro (PI);1432
2201507;Batalha (PI);4348
2201556;Bela Vista do Piauí (PI);2260
2201572;Belém do Piauí (PI);2486
2201606;Beneditinos (PI);1654
2201705;Bertolínia (PI);700
2201739;Betânia do Piauí (PI);2380
2201770;Boa Hora (PI);1588
2201804;Bocaina (PI);2259
2201903;Bom Jesus (PI);103937
2201919;Bom Princípio do Piauí (PI);8209
2201929;Bonfim do Piauí (PI);2138
2201945;Boqueirão do Piauí (PI);952
2201960;Brasileira (PI);976
2201988;Brejo do Piauí (PI);1340
2202000;Buriti dos Lopes (PI);5302
2202026;Buriti dos Montes (PI);1789
2202059;Cabeceiras do Piauí (PI);1440
2202075;Cajazeiras do Piauí (PI);893
2202083;Cajueiro da Praia (PI);2600
2202091;Caldeirão Grande do Piauí (PI);9410
2202109;Campinas do Piauí (PI);1468
2202117;Campo Alegre do Fidalgo (PI);1504
2202133;Campo Grande do Piauí (PI);6320
2202174;Campo Largo do Piauí (PI);906
2202208;Campo Maior (PI);2543
2202251;Canavieira (PI);1580
2202307;Canto do Buriti (PI);9099
2202406;Capitão de Campos (PI);1800
2202455;Capitão Gervásio Oliveira (PI);519
2202505;Caracol (PI);5253
2202539;Caraúbas do Piauí (PI);734
2202554;Caridade do Piauí (PI);2270
2202604;Castelo do Piauí (PI);2901
2202653;Caxingó (PI);674
2202703;Cocal (PI);20740
2202711;Cocal de Telha (PI);900
2202729;Cocal dos Alves (PI);6107
2202737;Coivaras (PI);1511
2202752;Colônia do Gurguéia (PI);544
2202778;Colônia do Piauí (PI);1708
2202802;Conceição do Canindé (PI);483
2202851;Coronel José Dias (PI);1460
2202901;Corrente (PI);21829
2203008;Cristalândia do Piauí (PI);2468
2203107;Cristino Castro (PI);801
2203206;Curimatá (PI);1950
2203230;Currais (PI);66498
2203255;Curralinhos (PI);711
2203271;Curral Novo do Piauí (PI);2185
2203305;Demerval Lobão (PI);541
2203354;Dirceu Arcoverde (PI);1215
2203404;Dom Expedito Lopes (PI);3313
2203420;Domingos Mourão (PI);1585
2203453;Dom Inocêncio (PI);4862
2203503;Elesbão Veloso (PI);4247
2203602;Eliseu Martins (PI);1705
2203701;Esperantina (PI);4352
2203750;Fartura do Piauí (PI);1340
2203800;Flores do Piauí (PI);1430
2203859;Floresta do Piauí (PI);409
2203909;Floriano (PI);3355
2204006;Francinópolis (PI);786
2204105;Francisco Ayres (PI);2667
2204154;Francisco Macedo (PI);1075
2204204;Francisco Santos (PI);4590
2204303;Fronteiras (PI);5900
2204352;Geminiano (PI);3308
2204402;Gilbués (PI);52606
2204501;Guadalupe (PI);2321
2204550;Guaribas (PI);2052
2204600;Hugo Napoleão (PI);887
2204659;Ilha Grande (PI);661
2204709;Inhuma (PI);7518
2204808;Ipiranga do Piauí (PI);1768
2204907;Isaías Coelho (PI);3273
2205003;Itainópolis (PI);5617
2205102;Itaueira (PI);9335
2205151;Jacobina do Piauí (PI);1672
2205201;Jaicós (PI);8860
2205250;Jardim do Mulato (PI);1035
2205276;Jatobá do Piauí (PI);2037
2205300;Jerumenha (PI);365
2205359;João Costa (PI);518
2205409;Joaquim Pires (PI);1950
